#{"t_start": 1754346592.6159396, "env_id": "leoroverpybullet/MyEnv2"}
r,l,t
-14358.133918,8660,15.460261
-5799.375331,3306,21.199105
-4488.407143,2484,26.457572
-2141.03154,2354,31.062103
-1927.67728,2378,35.644866
-21573.050249,7125,47.25237
-5136.3018,3540,53.808246
-9861.977798,3839,60.674658
-6874.692762,3054,66.03301
-1894.401849,2132,70.226339
-3732.993768,2404,75.454714
-2161.518438,1863,79.357795
-1501.697522,1606,82.430838
-11746.897447,4336,89.877444
-1888.765977,1782,93.614182
-8297.018412,3844,100.481817
-1304.034221,1560,103.949802
-1174.465092,1329,107.122688
-2278.228945,2281,111.505828
-6162.444278,5370,120.097499
-7491.322681,4588,128.323184
-9282.586251,9826,143.634394
-2959.113946,10001,159.771682
-1211.861558,10001,180.761717
-19066.473829,22102,228.160099
-17695.276244,18311,255.917333
-15279.060183,15796,280.110951
-12870.503236,13057,299.848299
-5619.301632,6897,310.660303
-4324.28532,5576,319.889321
-2721.084156,4085,326.849175
-2287.91738,3887,333.530504
-2104.687647,2363,337.88625
-2226.176702,2867,343.352875
-2486.215166,2927,348.33394
-3016.91893,2780,353.204898
-2861.463847,2218,357.414529
-18515.844436,7557,369.648378
-1567.181626,2973,375.254984
-2167.802145,4229,382.421043
-2551.404897,5330,390.734444
-2445.730064,4355,397.929577
-2369.003534,4821,406.136381
-4573.888811,7013,416.836004
-7850.321262,11639,434.509169
-10466.039404,13474,454.425465
-6613.837172,12360,472.803614
-5094.866877,9561,487.443536
-2465.783498,5431,496.348815
-9819.080772,12113,519.769797
-2870.247236,6327,532.270247
-7750.797195,15750,562.4032
-9410.057764,19553,598.424425
-7426.92305,17657,631.751186
-8488.384737,20142,668.841362
-6789.161518,16691,701.047383
-5703.422449,18697,736.162538
-10186.061008,20956,774.696024
-8620.568553,15048,802.692297
-6609.791653,15283,831.844165
-6297.06303,15596,860.799973
-5634.635754,15522,890.347054
-5761.282116,17445,923.676506
-5634.541487,15975,953.593287
-5447.837482,14187,980.312225
-5510.409257,14130,1006.933928
-5533.548471,13011,1031.221484
-4593.314127,14248,1057.922489
-6722.770871,14714,1086.088878
-4468.674245,13629,1111.233868
-4355.411329,14863,1138.701014
-3528.216687,14222,1165.293086
-6380.649176,15886,1194.601793
-3171.781114,15145,1223.323328
-8453.025072,18872,1258.773452
-3589.931227,17605,1291.280196
-3933.125715,20724,1329.47318
-3257.930046,18767,1364.041996
-1161.984262,7647,1378.597042
-630.853894,5721,1390.103258
-372.641534,3578,1397.706011
-238.573,2692,1403.670674
-288.334684,2997,1410.538621
-205.039944,2497,1416.074264
-219.238112,2396,1421.548904
-206.400654,2563,1427.232133
-3179.830963,12013,1450.065574
-381.174324,4106,1458.467747
-214.757208,2427,1463.971689
-212.614043,2589,1470.227674
-243.544903,2870,1476.375743
-161.325506,2057,1481.327416
-250.747851,3167,1488.387815
-272.786043,3601,1495.612684
-238.491678,3437,1503.196287
-8078.051673,11443,1524.208122
-3477.298719,12052,1547.329978
-627.531081,6167,1559.548446
-386.470914,4743,1569.016609
-257.912953,3647,1576.815137
-161.301989,1871,1581.398579
-168.905926,2161,1586.46301
-4309.168899,11505,1607.75337
-906.071207,10877,1627.096267
-769.912872,10565,1646.373324
-674.634704,8946,1663.086648
-284.702331,4428,1672.404838
-240.184191,3369,1680.14556
-182.736376,2811,1687.22815
-110.662039,1576,1691.347422
-302.302497,3678,1699.088924
-118.053235,1698,1703.386699
-126.562281,1669,1707.579278
-86.643879,1472,1711.73715
-113.414638,1680,1715.935648
-2155.407734,11513,1737.541284
-406.474478,4492,1746.827742
-240.690188,3424,1757.593955
-315.842144,4549,1772.173531
-210.427416,3038,1781.216498
-180.689341,2524,1786.469698
-120.395723,1823,1791.023711
-8077.082719,11111,1811.515224
-138.394685,2007,1816.351926
-9109.15213,11358,1836.552868
-3393.545248,11899,1858.605084
-276.04353,3120,1865.639176
-396.085374,4354,1874.721442
-348.392215,4453,1883.855304
-311.66747,3939,1892.217783
-281.697144,3679,1900.764741
-272.837986,3731,1910.195628
-260.377578,3528,1917.478148
-148.982651,1915,1922.074586
-317.11209,5270,1932.6416
-146.720489,2093,1939.890303
-93.256061,1443,1944.881711
-115.828493,1479,1951.102466
-8630.867613,11072,1972.506083
-6653.527131,11182,1992.37574
-3531.683488,11705,2016.508357
-329.21592,3367,2023.084416
-238.660559,2696,2029.784923
-210.426312,2597,2035.612808
-240.759186,2435,2041.175304
-171.775838,2148,2046.36276
-195.96339,2247,2051.750984
-183.24511,2121,2056.728904
-174.503009,1945,2061.582814
-167.111208,1991,2066.410613
-112.60689,1546,2070.598577
-110.339995,1578,2074.845276
-125.800287,1599,2081.261621
-81.490153,1379,2085.243481
-3081.320875,11266,2106.400165
-110.683578,1668,2109.990943
-208.090178,2760,2114.886803
-272.096889,3620,2121.286641
-253.419974,3643,2127.139709
-294.711859,4626,2135.267986
-207.823495,3009,2140.399288
-138.11825,2309,2144.772967
-102.756808,1791,2148.543395
-49.461813,1163,2151.629368
-57.559987,1392,2154.458535
-97.603192,2085,2158.561997
-60.848565,1110,2161.57397
-53.146817,1125,2164.597392
-5597.212374,10557,2180.450412
-376.685747,5961,2190.023896
-75.571487,1722,2193.128448
-85.191699,1823,2196.893002
-206.316224,3452,2203.096846
-75.51614,1354,2206.376844
-5314.341994,10791,2222.046893
-77.687822,1440,2225.403949
-47.49155,1222,2227.972104
-57.804246,1360,2231.226195
-87.240326,1470,2234.599263
-68.134887,1384,2237.362418
-112.506279,2490,2241.929719
-80.970801,1796,2245.685586
-75.446169,1652,2249.270139
-136.005772,2535,2253.855789
-128.892354,2609,2259.081258
-30.376601,949,2261.399465
-38.720748,1038,2264.36587
-5752.060709,10761,2280.028771
-167.753861,3368,2286.123251
-122.73917,2340,2290.523984
-79.74523,1859,2294.365421
-62.13595,1588,2297.35257
-84.037142,1776,2301.052176
-94.240493,1953,2304.992377
-57.960131,1441,2308.35315
-54.21818,1401,2311.836205
-92.795257,1876,2316.011271
-2877.264103,10854,2332.307012
-278.144342,3851,2338.919135
-265.839395,3913,2345.613059
-135.83927,2666,2350.344478
-124.884415,2349,2354.692706
-146.979996,2728,2359.479389
-191.964743,3602,2366.041346
-135.698211,2537,2371.547093
-66.526656,1506,2375.606599
-82.482311,1473,2379.635251
-139.891216,2602,2385.236878
-69.945278,1147,2388.749648
-48.631671,939,2391.429575
-40.689414,1042,2394.856374
-48.78611,974,2397.59146
-26.96803,949,2400.865922
-43.373635,941,2403.575072
-6738.679344,10707,2422.043956
-3469.740116,10894,2442.20248
-61.440196,1157,2445.171063
-1738.9336,11891,2466.461303
-110.659884,1998,2471.106509
-45.860895,1133,2474.016891
-83.181396,1626,2478.20763
-127.219226,2335,2483.401514
-53.61011,1153,2486.924697
-61.31156,1194,2490.552511
-55.17396,1125,2493.467001
-58.798549,1098,2496.888975
-92.353317,1436,2500.236124
-44.111112,1047,2503.556034
-118.178917,1957,2508.304477
-4189.543566,10813,2528.193865
-87.307506,1354,2532.026166
-62.999417,1317,2535.214966
-78.335155,1428,2539.099361
