time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
556,1,3,2048,,,,,,,,,,,,,
594,2,6,4096,0.751724123954773,0.3,0.0003,1.0380892753601074,-2.880096513032913,10,0.009718612,0.021240234375,7.1737659480422735,-0.007661342620849609,-0.003774121610331349,,
610,3,10,6144,28.192411422729492,0.3,0.0003,1.0405805110931396,-2.914022267609835,20,0.0018355644,0.0001953125,112.1066276192665,-0.7291949987411499,-0.0004848143144045025,,
612,4,13,8192,360.5164794921875,0.3,0.0003,1.0410807132720947,-2.9173337772488592,30,0.0001627756,0.0,935.3932163238526,-0.06245565414428711,-9.43131308304146e-06,,
581,5,17,10240,663.5463256835938,0.3,0.0003,1.0412437915802002,-2.918020365387201,40,0.007305503,0.002978515625,1520.964059829712,0.0008280277252197266,-0.004034128540661186,-14358.133918,8660.0
565,6,21,12288,388.0606384277344,0.3,0.0003,1.042923927307129,-2.919574447721243,50,0.003301938,0.00078125,710.870459318161,0.6788520216941833,-0.0012891484970168677,-10078.7546245,5983.0
576,7,24,14336,92.4939193725586,0.3,0.0003,1.044933557510376,-2.9226637095212937,60,0.0045450144,0.000634765625,618.2955804347991,-0.40400731563568115,-0.0005843758000992239,-10078.7546245,5983.0
563,8,29,16384,448.3719787597656,0.3,0.0003,1.045796275138855,-2.92602724134922,70,0.0004597285,0.0,966.3706516265869,0.44143110513687134,-0.00014648409924120643,-8215.305464,4816.666666666667
553,9,33,18432,38.80158996582031,0.3,0.0003,1.0530281066894531,-2.9330254197120667,80,0.008920719,0.017333984375,136.0476195540279,0.1701177954673767,-0.0028773383193765765,-6696.736983,4201.0
547,10,37,20480,34.095420837402344,0.3,0.0003,1.064040184020996,-2.9488017946481704,90,0.008175053,0.02333984375,57.84669246673584,0.3961513042449951,-0.004413936378841754,-5742.9250424,3836.4
556,11,40,22528,25.570507049560547,0.3,0.0003,1.069620132446289,-2.9663064613938332,100,0.0065583056,0.0142578125,75.92856427133083,0.7906330227851868,-0.0020416971950908192,-5742.9250424,3836.4
563,12,43,24576,104.51786041259766,0.3,0.0003,1.0686287879943848,-2.971393796801567,110,0.0071115866,0.006787109375,469.6289857149124,-0.06160402297973633,-0.002232698246371001,-5742.9250424,3836.4
556,13,47,26624,213.03695678710938,0.3,0.0003,1.0707368850708008,-2.970965116471052,120,0.011027882,0.0138671875,1005.726077413559,0.5003256797790527,-0.0019844957132590935,-8381.2792435,4384.5
563,14,50,28672,318.884521484375,0.3,0.0003,1.0752205848693848,-2.9776577204465866,130,0.014455958,0.038720703125,804.2712595939636,0.8255151510238647,-0.005902756324212532,-8381.2792435,4384.5
558,15,55,30720,76.53536987304688,0.3,0.0003,1.0823203325271606,-2.9882082171738147,140,0.009172878,0.0271484375,223.90745749473572,0.8579943776130676,-0.004847515464643948,-7917.711037285714,4263.857142857143
563,16,58,32768,99.50496673583984,0.3,0.0003,1.0839263200759888,-2.996737188100815,150,0.011424597,0.031298828125,298.0001332759857,0.9800087213516235,-0.0032265302888845326,-7917.711037285714,4263.857142857143
559,17,62,34816,3.3041434288024902,0.3,0.0003,1.0899572372436523,-3.0017195716500282,160,0.0027090802,0.006396484375,694.8340627223254,0.26366496086120605,-0.00010454094299348072,-8160.744382375,4210.75
555,18,66,36864,48.10076904296875,0.3,0.0003,1.0961694717407227,-3.0123408652842043,170,0.005091289,0.021826171875,336.5823629498482,0.31525665521621704,-0.0009307480533607305,-8017.849757888889,4082.222222222222
552,19,70,38912,201.78140258789062,0.3,0.0003,1.0994677543640137,-3.0222300730645655,180,0.0060914755,0.005908203125,698.2176641464233,0.5740683078765869,-0.00019441369804553687,-7405.504967000001,3887.2
556,20,73,40960,0.9654070138931274,0.3,0.0003,1.116896629333496,-3.038956003636122,190,0.008772806,0.025390625,30.973354102298618,0.4143696427345276,-0.0005965723816188983,-7405.504967000001,3887.2
553,21,77,43008,10.016125679016113,0.3,0.0003,1.1300528049468994,-3.066440638154745,200,0.004483414,0.008203125,122.95518187452107,-1.3802757263183594,8.205150370486081e-05,-7071.640312545455,3752.3636363636365
543,22,82,45056,0.5462115406990051,0.3,0.0003,1.1464664936065674,-3.0896822452545165,210,0.0034741382,0.002880859375,153.3835275322199,-8.492846488952637,0.000154802345787175,-6265.481492153847,3441.923076923077
547,23,85,47104,0.9375584721565247,0.3,0.0003,1.1783654689788818,-3.134625035524368,220,0.006720381,0.03798828125,50.10918320864439,0.4926314353942871,-0.004066372728266288,-6265.481492153847,3441.923076923077
545,24,90,49152,54.000732421875,0.3,0.0003,1.1893446445465088,-3.174047192186117,230,0.010015383,0.016748046875,353.23321784734725,0.7291253805160522,-0.0007920385993202217,-6657.011203214286,3505.785714285714
543,25,94,51200,703.4291381835938,0.3,0.0003,1.1938538551330566,-3.186976243555546,240,0.0016315579,9.765625e-05,1534.2798822402954,0.46820056438446045,-0.00036038122489117085,-6339.128188133333,3390.866666666667
547,26,97,53248,2.2061245441436768,0.3,0.0003,1.22013521194458,-3.217776595801115,250,0.012435828,0.033056640625,53.05835239440203,0.9488402605056763,-0.004498375936964294,-6339.128188133333,3390.866666666667
545,27,101,55296,98.08263397216797,0.3,0.0003,1.2234292030334473,-3.2374366894364357,260,0.009662399,0.012255859375,426.3241398334503,0.60393887758255,-0.0019335294593474828,-6461.496327125,3419.1875
544,28,105,57344,119.23700714111328,0.3,0.0003,1.2288012504577637,-3.244784424453974,270,0.0060729412,0.013037109375,318.63571362495424,0.8681728839874268,-0.002361996726540383,-6158.116203235294,3309.823529411765
542,29,109,59392,79.67219543457031,0.3,0.0003,1.2503283023834229,-3.2694992713630198,280,0.020747235,0.079150390625,61.38306003771722,0.9504109025001526,-0.006324698790194816,-5881.246697055555,3199.777777777778
540,30,113,61440,3.3596620559692383,0.3,0.0003,1.2938857078552246,-3.3165902592241765,290,0.023449074,0.096533203125,64.62171107232571,0.9567013382911682,-0.011235378566198051,-5691.614183789473,3151.4210526315787
544,31,116,63488,110.04226684570312,0.3,0.0003,1.3243677616119385,-3.3767795726656913,300,0.008550374,0.027001953125,80.2126281067729,0.9718864560127258,-0.003359169808391016,-5691.614183789473,3151.4210526315787
543,32,120,65536,3.9830105304718018,0.3,0.0003,1.3364124298095703,-3.403908491879702,310,0.012282299,0.013037109375,237.34036315456032,0.07927006483078003,-0.0021450031606946142,-5715.155688499999,3262.35
546,33,123,67584,25.742555618286133,0.3,0.0003,1.346440076828003,-3.419826793670654,320,0.010522369,0.0060546875,222.33733649849893,0.5865716934204102,-0.0022974272069404833,-5715.155688499999,3262.35
549,34,126,69632,0.8082901239395142,0.3,0.0003,1.3681339025497437,-3.445396739989519,330,0.014725116,0.054638671875,4.2801735490560535,0.523279070854187,-0.006601714680436998,-5715.155688499999,3262.35
548,35,130,71680,1.664989709854126,0.3,0.0003,1.3747999668121338,-3.4657567285001276,340,0.008215644,0.014453125,151.60801656097175,0.820096492767334,-0.0018566914557595737,-5799.735069095237,3325.4761904761904
551,36,133,73728,53.097408294677734,0.3,0.0003,1.3988831043243408,-3.488989018648863,350,0.011311879,0.027587890625,210.9291366457939,0.8619154691696167,-0.005612262547947467,-5799.735069095237,3325.4761904761904
553,37,136,75776,1.6797436475753784,0.3,0.0003,1.4187755584716797,-3.5205069042742254,360,0.022515425,0.08046875,4.179302147775888,0.8486014604568481,-0.015847851063881535,-5799.735069095237,3325.4761904761904
556,38,139,77824,0.7705838084220886,0.3,0.0003,1.415049433708191,-3.5385388791561128,370,0.003929095,0.006396484375,3.3293387023732066,0.8316510915756226,-0.0026035583272459918,-5799.735069095237,3325.4761904761904
554,39,144,79872,2.0163254737854004,0.3,0.0003,1.4254659414291382,-3.536357059329748,380,0.017292222,0.060205078125,24.530005735903977,0.6720328330993652,-0.010960613936185836,-5958.046486454545,3620.9545454545455
557,40,147,81920,5.146586894989014,0.3,0.0003,1.4328676462173462,-3.5496464163064956,390,0.018088862,0.054638671875,38.70325929671526,0.9224303364753723,-0.006578378195990808,-5958.046486454545,3620.9545454545455
559,41,150,83968,-0.03588248789310455,0.3,0.0003,1.4490453004837036,-3.5614955708384515,400,0.016966583,0.130224609375,0.22353140823543072,0.8990166783332825,-0.016489622015797067,-5958.046486454545,3620.9545454545455
562,42,153,86016,-0.151918426156044,0.3,0.0003,1.4729268550872803,-3.5933382444083692,410,0.03195847,0.163232421875,0.11705070870229975,0.9735749959945679,-0.032994803730980495,-5958.046486454545,3620.9545454545455
564,43,156,88064,0.3830382227897644,0.3,0.0003,1.4747953414916992,-3.6091016732156276,420,0.013635826,0.04873046875,2.4191653968766333,-0.1653296947479248,-0.00795354345755186,-5958.046486454545,3620.9545454545455
559,44,161,90112,0.1627327799797058,0.3,0.0003,1.4897962808609009,-3.617449463158846,430,0.024449611,0.121337890625,0.8102972626686096,0.8574429154396057,-0.02326297013059957,-5827.658115130434,3898.3478260869565
558,45,165,92160,0.7199698090553284,0.3,0.0003,1.5143109560012817,-3.6454990841448307,440,0.0177253,0.047412109375,1.184988047205843,0.7060354948043823,-0.007538962923717918,-5827.658115130434,3898.3478260869565
557,46,169,94208,-0.145664244890213,0.3,0.0003,1.53102707862854,-3.672419897466898,450,0.03462513,0.199365234375,0.08004817933542654,0.9561640024185181,-0.037947268539573996,-5827.658115130434,3898.3478260869565
556,47,173,96256,-0.12309473752975464,0.3,0.0003,1.5157464742660522,-3.665857867151499,460,0.0261733,0.137060546875,0.013170775306934956,0.9313246011734009,-0.022470802887983154,-5827.658115130434,3898.3478260869565
